"ID","Name","Hint"
"1","SQL Online","for Data Science"
"2","Kirill N.","https://www.linkedin.com/in/sqliteonlinecom"
"3","Twitter","https://twitter.com/SqliteOnlineCom"
"4","Chart","LINE-SELECT name, cos(id), sin(id) FROM demo;"
"5","Short CODE","s* tableName => SELECT * FROM tableName
sf tableName => SELECT columns FROM tableName
sc tableName => SELECT count(*) FROM tableName
sl tableName => SELECT * FROM tableName ORDER BY key DESC LIMIT 100;
ct => CREATE TABLE
ii tableName => INSERT INTO
us tableName => UPDATE SET
uw tableName => UPDATE SET WHERE
df tableName => DELETE FROM
dw tableName => DELETE FROM WHERE"
"6","SqLite 3.36.0","SQL OnLine on JavaScript"
"7","[RightClick] mouse","Opens many additional features"
"8","Left-Panel, Table","[RightClick] mouse ""Context menu"""
"9","Tabs","mouse: [RightClick] , [MiddleClick] , [Wheel] , [LeftClick]"
"10","SQL Editor","autocomplete: [Ctrl-Space] or [Alt-Space]; run: [Shift-Enter]"
"11","Size table","Fast scroll million rows"
"12","Share","Create public link DB"
"13","ai.Url","https://sqliteonline.com/LICENSE"
"14","ai.Color","#9393ad"
"15","ai.Image","Blob - png, jpg, gif or String(base64) [DbClick] row"
"16","SQL","Syntax example library"
"17","CREATE","CREATE TABLE table_name (col1, col2)"
"18","SELECT","SELECT * FROM table_name"
"19","INSERT","INSERT INTO table_name (col1, col2) VALUES (""example"",""test"")"
"20","UPDATE","UPDATE table_name SET col1=""work"" WHERE col2=""test"""
"21","DELETE","DELETE FROM table_name"
